id;page;category_group;category;name;description;unit;volume;quantity;price;currency;availability;picture
1;Building mixture;Primers;Грунтовки;БИОДОКТОР для дерева 10л.;tratata;1;банка;many;179,9;грн.;true;img\decorationmaterials\Building mixture\Primers\biodoctor.jpg
2;Building mixture;Primers;Грунтовки;БИОДОКТОР для дерева 1л.;tratata;1;банка;many;28,9;грн.;true;img\decorationmaterials\Building mixture\Primers\biodoctor.jpg
3;Building mixture;Primers;Грунтовки;БИОДОКТОР для дерева 5л.;tratata;1;банка;many;96,9;грн.;true;img\decorationmaterials\Building mixture\Primers\biodoctor.jpg
4;Building mixture;Primers;Грунтовки;БИОДОКТОР для камня 1л.;tratata;1;банка;many;28,9;грн.;true;img\decorationmaterials\Building mixture\Primers\biodoctorRock.jpg
5;Building mixture;Primers;Грунтовки;БИОДОКТОР для камня 5л.;tratata;1;банка;many;96,9;грн.;true;img\decorationmaterials\Building mixture\Primers\biodoctorRock.jpg
6;Building mixture;Primers;Грунтовки;Грунт антикор. ускоренного высыхания серый 1 кг ( учет в кг.);tratata;1;кг.;many;36,4;грн.;true;img\decorationmaterials\Building mixture\Primers\PrimerAntikor.jpg
7;Building mixture;Primers;Грунтовки;Грунт Колорит 10л.;tratata;1;шт.;many;105,78;грн.;true;img\decorationmaterials\Building mixture\Primers\PrimersKolorit10L.jpg
8;Building mixture;Primers;Грунтовки;Грунт Колорит 2л.;tratata;1;шт.;many;29,52;грн.;true;img\decorationmaterials\Building mixture\Primers\PrimersKolorit.jpg
9;Building mixture;Primers;Грунтовки;Грунт Колорит 5л.;tratata;1;шт.;many;62,24;грн.;true;img\decorationmaterials\Building mixture\Primers\PrimersKolorit.jpg
10;Building mixture;Primers;Грунтовки;"Грунтовка Полирем 1741 ""Антигрибок"" 1л.";tratata;1;банка;many;6,15;грн.;true;img\decorationmaterials\Building mixture\Primers\polirem-vd-1741-antigribok-10l.jpg
11;Building mixture;Primers;Грунтовки;Дельфин  0,25л. защитное средство д/плитки;tratata;1;банка;many;15;грн.;true;img\decorationmaterials\Building mixture\Primers\delfin_235_auto_5_80.jpg
12;Building mixture;Primers;Грунтовки;Колорит ГИДРОСТОП 2л.;tratata;1;шт.;many;21,6;грн.;true;img\decorationmaterials\Building mixture\Primers\0_13921100_1336039711_img.jpg
13;Building mixture;Primers;Грунтовки;Колорит ГИДРОСТОП 5л.;tratata;1;шт.;many;44;грн.;true;img\decorationmaterials\Building mixture\Primers\0_13921100_1336039711_img.jpg
14;Building mixture;Primers;Грунтовки;Огнебиозащита Блеск ХМББ-3324 5 кг раствор;tratata;1;шт;many;66,9;грн.;true;img\decorationmaterials\Building mixture\Primers\50209270.jpg
15;Building mixture;Primers;Грунтовки;Огнебиозащита для дерева КОМПОЗИТ 10 л.;tratata;1;шт.;many;156,9;грн.;true;img\decorationmaterials\Building mixture\Primers\vognezahist_5.png
16;Building mixture;Primers;Грунтовки Артисан;Грунтовка Артисан №7 10л.;tratata;1;банка;many;100,2;грн.;true;img\decorationmaterials\Building mixture\Primers\artisan_s-7_200x200_pc.jpg
17;Building mixture;Primers;Грунтовки Артисан;Грунтовка Артисан №7 2л.;tratata;1;банка;many;27,6;грн.;true;img\decorationmaterials\Building mixture\Primers\artisan_s-7_200x200_pc.jpg
18;Building mixture;Primers;Грунтовки Артисан;Грунтовка Артисан №7 5л.;tratata;1;банка;many;57,9;грн.;true;img\decorationmaterials\Building mixture\Primers\artisan_s-7_200x200_pc.jpg
19;Building mixture;Primers;Грунтовки Артисан;Захист №2 10л.;tratata;1;банка;many;120,65;грн.;true;img\decorationmaterials\Building mixture\Primers\artisan_s-7_200x200_pc.jpg
20;Building mixture;Primers;Грунтовки Артисан;Захист №2 5л.;tratata;1;банка;many;61,28;грн.;true;img\decorationmaterials\Building mixture\Primers\artisan_s-7_200x200_pc.jpg
21;Building mixture;Primers;Шпатлевка Акрилпутц;Шпатлевка Акрилпутц 20кг. (Украина) ST 10;tratata;1;мішок;many;140,28;грн.;true;img\decorationmaterials\Building mixture\Primers\shpatlevka-acryl-putz-(akril-auts)-st15-start-plyus.jpg
22;Building mixture;Primers;Шпатлевка Акрилпутц;Шпатлевка Акрилпутц 2кг. ST 10;tratata;1;мешок;many;18,27;грн.;true;img\decorationmaterials\Building mixture\Primers\shpatlevka-acryl-putz-(akril-auts)-st15-start-plyus.jpg
23;Building mixture;Primers;Шпатлевка Акрилпутц;Шпатлевка Акрилпутц 5кг. ST 10;tratata;1;мешок;many;43,26;грн.;true;img\decorationmaterials\Building mixture\Primers\shpatlevka-acryl-putz-(akril-auts)-st15-start-plyus.jpg
24;Building mixture;Primers;Шпатлевка Акрилпутц;Шпатлевка Акрилпутц ФАСАД 20кг. FD 12;tratata;1;мешок;many;192,97;грн.;true;img\decorationmaterials\Building mixture\Primers\acryl_putz_fd_12_fasada_3_1-800x800.jpg
