id;category_group;category;name;description;unit;volume;quantity;price;currency;availability;picture
1;wood_materials;hardboard;            ДВП 2,5 (2,44*1,22);bla bla bla;1;1;шт.;52,90;грн;true;img\buildingmaterials\wood_materials\ДВП 25.jpeg
2;wood_materials;hardboard;            ДВП 2,5 (2,44*2,13);bla bla bla;1;1;шт.;37,50;грн;true;img\buildingmaterials\wood_materials\ДВП 25.jpeg
3;wood_materials;hardboard;            ДВП 2,5 (2,46*1,24);bla bla bla;1;1;шт.;24,41;грн;true;img\buildingmaterials\wood_materials\ДВП 25.jpeg
4;wood_materials;hardboard;            ДВП 3,2 (2,44*1,22);bla bla bla;1;1;шт.;69,90;грн;true;img\buildingmaterials\wood_materials\ДВП 25.jpeg
5;wood_materials; Particleboard;            ДСП 16мм 1,22*1,83;bla bla bla;1;1;шт.;52,30;грн;true;img\buildingmaterials\wood_materials\Particleboard.jpg
6;wood_materials  ;Particleboard;             ДСП 16мм 2,44*1,83; bla bla bla;1;1;шт.;283,40;грн;true; img\buildingmaterials\wood_materials\Particleboard.jpg
7;wood_materials; Particleboard;            ДСП 16мм 2,44*1,83 (будів.);bla bla bla;1;1;шт.;112,30;грн;true;img\buildingmaterials\wood_materials\Particleboard.jpg
8;wood_materials; Particleboard;            ДСП 16мм 2,60*1,83;bla bla bla;1;1;шт.;77,00;грн;true;img\buildingmaterials\wood_materials\Particleboard.jpg
9;wood_materials; Particleboard;            ДСП 16мм 2,75*1,83;bla bla bla;1;1;шт.;313,90;грн;true;img\buildingmaterials\wood_materials\Particleboard.jpg
10;wood_materials; Particleboard;            ДСП 18мм 1,22*1,83;bla bla bla;1;1;шт.;50,6;грн;true;img\buildingmaterials\wood_materials\Particleboard.jpg
11;wood_materials; Particleboard;            ДСП 18мм 2,75*1,83;bla bla bla;1;1;шт.;162,40;грн;true;img\buildingmaterials\wood_materials\Particleboard.jpg
12;wood_materials; Particleboard;            ДСП 22мм 2,44*1,83 ПА МШЕ 1;bla bla bla;1;1;шт.;269,90;грн;true;img\buildingmaterials\wood_materials\Particleboard.jpg
13;wood_materials;Rail;            Рейка 20х40 ;bla bla bla;1;1;м.п.;4,37;грн;true;img\buildingmaterials\wood_materials\rail.jpg
14;wood_materials;Rail;            Рейка 20х40 СВ (3м);bla bla bla;1;1;м.п.;1,64;грн;true;img\buildingmaterials\wood_materials\rail.jpg
15;wood_materials;Rail;            Рейка 25х30х4,5 ;bla bla bla;1;1;м.п.;1,09;грн;true;img\buildingmaterials\wood_materials\rail.jpg
16;wood_materials;Rail;            Рейка 50х40 СВ (3м);bla bla bla;1;1;м.п.;2,55;грн;true;img\buildingmaterials\wood_materials\rail.jpg
17;wood_materials;Plywood;            Фанера  4мм 1,250*1,525м.;bla bla bla;1;1;шт.;40,00;грн;true;img\buildingmaterials\wood_materials\Фанера 4мм.jpeg
18;wood_materials;Plywood;            Фанера  4мм 1,475*1,525м.;bla bla bla;1;1;шт.;40,00;грн;true;img\buildingmaterials\wood_materials\Фанера 4мм.jpeg
19;wood_materials;Plywood;            Фанера  4мм 1,525*1,525м.;bla bla bla;1;1;шт.;97,90;грн;true;img\buildingmaterials\wood_materials\Фанера 4мм.jpeg
20;wood_materials;Plywood;            Фанера  6,5мм 1,525*1,525м.;bla bla bla;1;1;шт.;67,00;грн;true;img\buildingmaterials\wood_materials\Фанера 4мм.jpeg
21;wood_materials;Plywood;            Фанера  6мм 1,525*1,475м.;bla bla bla;1;1;шт.;68,95;грн;true;img\buildingmaterials\wood_materials\Фанера 4мм.jpeg
22;wood_materials;Plywood;            Фанера  6мм 1,525*1,525м.;bla bla bla;1;1;шт.;109,70;грн;true;img\buildingmaterials\wood_materials\Фанера 4мм.jpeg
23;wood_materials;Plywood;            Фанера  8мм 1,525*1,525м.;bla bla bla;1;1;шт.;147,90;грн;true;img\buildingmaterials\wood_materials\Фанера 4мм.jpeg
