id;category_group;category;name;description;unit;volume;quantity;price;currency;availability;picture
1;gypsum plasterboard;"gypsum plasterboard ""Knauf""";"            Аквапанель наруж ""Knauf"" 12,5  (2,4*0,9м)";none;1;шт.;1;456,48;грн.;true;img\decorationmaterials\gypsum plasterboard\.jpeg
2;gypsum plasterboard;"gypsum plasterboard ""Knauf""";"            Гипсоволокниста плита ""Knauf"" 10,0  (2,5*1,2м)";none;1;шт.;1;347,00;грн.;true;img\decorationmaterials\gypsum plasterboard\gypsum plate Knauf.jpeg
3;gypsum plasterboard;"gypsum plasterboard ""Knauf""";"            Гипсокартон ""Knauf"" 12,5(2,0*1,2м)";none;1;шт.;1;78,40;грн.;true;img\decorationmaterials\gypsum plasterboard\gypsum plasterboard.jpeg
4;gypsum plasterboard;"gypsum plasterboard ""Knauf""";"            Гипсокартон ""Knauf"" 12,5(2,5*1,2м)";none;1;шт.;1;85,90;грн.;true;img\decorationmaterials\gypsum plasterboard\gypsum plasterboard.jpeg
5;gypsum plasterboard;"gypsum plasterboard ""Knauf""";"            Гипсокартон ""Knauf"" 12,5(3,0*1,2м)";none;1;шт.;1;108,50;грн.;true;img\decorationmaterials\gypsum plasterboard\gypsum plasterboard.jpeg
6;gypsum plasterboard;"gypsum plasterboard ""Knauf""";"            Гипсокартон ""Knauf"" 9,5(2,0*1,2м)";none;1;шт.;1;64,50;грн.;true;img\decorationmaterials\gypsum plasterboard\gypsum plasterboard.jpeg
7;gypsum plasterboard;"gypsum plasterboard ""Knauf""";"            Гипсокартон ""Knauf"" 9,5(2,5*1,2м)";none;1;шт.;1;79,90;грн.;true;img\decorationmaterials\gypsum plasterboard\gypsum plasterboard.jpeg
8;gypsum plasterboard;"gypsum plasterboard ""Knauf""";"            Гипсокартон ""Knauf"" водостойкий 12,5 (2,0*1,2м)";none;1;шт.;1;84,85;грн.;true;img\decorationmaterials\gypsum plasterboard\Plasterboard waterproof.jpeg
9;gypsum plasterboard;"gypsum plasterboard ""Knauf""";"            Гипсокартон ""Knauf"" водостойкий 12,5 (2,5*1,2м)";none;1;шт.;1;109,90;грн.;true;img\decorationmaterials\gypsum plasterboard\Plasterboard waterproof.jpeg
10;gypsum plasterboard;"gypsum plasterboard ""Knauf""";"            Гипсокартон ""Knauf"" водостойкий 12,5 (3,0*1,2м)";none;1;шт.;1;150,00;грн.;true;img\decorationmaterials\gypsum plasterboard\Plasterboard waterproof.jpeg
11;gypsum plasterboard;"gypsum plasterboard ""Knauf""";"            Гипсокартон ""Knauf"" гибкий (2,5*1,2м)";none;1;шт.;1;200,00;грн.;true;img\decorationmaterials\gypsum plasterboard\Plasterboard flexible.jpeg
12;gypsum plasterboard;"gypsum plasterboard ""Knauf""";"            Гипсокартон ""Knauf"" гибкий (3,0*1,2м)";none;1;шт.;1;204,15;грн.;true;img\decorationmaterials\gypsum plasterboard\Plasterboard flexible.jpeg
13;gypsum plasterboard;"gypsum plasterboard ""Knauf""";"            Гипсокартон ""Knauf"" огнеупорный  (2,5*1,2м)";none;1;шт.;1;112,30;грн.;true;img\decorationmaterials\gypsum plasterboard\Gypsum refractory.jpeg
14;gypsum plasterboard;"gypsum plasterboard ""Lafarge""";"            Гипсокартон ""Lafarge"" ""Baugips"" 12,5(2,5*1,2м)";none;1;шт.;1;80,00;грн.;true;img\decorationmaterials\gypsum plasterboard\gypsum plasterboard.jpeg
15;gypsum plasterboard;"gypsum plasterboard ""Lafarge""";"            Гипсокартон ""Lafarge"" ""Baugips"" 9,5(2,5*1,2м)";none;1;шт.;1;76,00;грн.;true;img\decorationmaterials\gypsum plasterboard\gypsum plasterboard.jpeg
16;gypsum plasterboard;"gypsum plasterboard ""Lafarge""";"            Гипсокартон ""Lafarge"" 12,5(1,5*0,6м)";none;1;шт.;1;30,75;грн.;true;img\decorationmaterials\gypsum plasterboard\gypsum plasterboard.jpeg
17;gypsum plasterboard;"gypsum plasterboard ""Lafarge""";"            Гипсокартон ""Lafarge"" 12,5(2,0*1,2м)";none;1;шт.;1;77,65;грн.;true;img\decorationmaterials\gypsum plasterboard\gypsum plasterboard.jpeg
18;gypsum plasterboard;"gypsum plasterboard ""Lafarge""";"            Гипсокартон ""Lafarge"" 12,5(2,5*1,2м)";none;1;шт.;1;82,90;грн.;true;img\decorationmaterials\gypsum plasterboard\gypsum plasterboard.jpeg
19;gypsum plasterboard;"gypsum plasterboard ""Lafarge""";"            Гипсокартон ""Lafarge"" 12,5(3,0*1,2м)";none;1;шт.;1;114,90;грн.;true;img\decorationmaterials\gypsum plasterboard\gypsum plasterboard.jpeg
20;gypsum plasterboard;"gypsum plasterboard ""Lafarge""";"            Гипсокартон ""Lafarge"" 15 монолит (2,5*1,2м)";none;1;шт.;1;105,95;грн.;true;img\decorationmaterials\gypsum plasterboard\gypsum plasterboard.jpeg
21;gypsum plasterboard;"gypsum plasterboard ""Lafarge""";"            Гипсокартон ""Lafarge"" 9,5(2,0*1,2м)";none;1;шт.;1;71,85;грн.;true;img\decorationmaterials\gypsum plasterboard\gypsum plasterboard.jpeg
22;gypsum plasterboard;"gypsum plasterboard ""Lafarge""";"            Гипсокартон ""Lafarge"" 9,5(2,5*1,2м)";none;1;шт.;1;75,90;грн.;true;img\decorationmaterials\gypsum plasterboard\gypsum plasterboard.jpeg
